param n :=           32;
param m :=            8;
param MM :=    1           15,   2           52,   3           70,   4           40,   5           36,   6           36,   7           48,   8           93;
param AA :=    1            2,   2           11,   3           44,   4            3,   5           18,   6            7,   7            2,   8           18,   9           14,  10            9,  11            6,  12           43,  13           22,  14            9,  15            8,  16            7,  17           10,  18            1,  19           18,  20            4,  21            3,  22            5,  23            7,  24           31,  25            9,  26            2,  27            6,  28            6,  29           34,  30            9,  31            9,  32           13;
param a :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32	:=
	   1         243         194         194         243         116         141         182         122         248          77         198         180         252         155         115         247         119         219         122          98         231         192         185         110         194          67          67         249         121         116         168         188
	   2         147         245         135         154         215          98         154         225         223         190         122         117         160          82         225         162          99         245         196         164         169         173         114         209         247         121         208          93         151         238         178         168
	   3         112          96          77          86          69         247         210          76         253         172         221          84         200         191         157         237         157          71          76          70         153         192          84         168         103          67         140         246         192         144         217         206
	   4         249         202         130         149         241          77         213         154         217         117         125         259         150         248          87         167         225         140         235         133          75         178         192         215         132         204         212         207         155         236         195         125
	   5         198         126         174         147         158         127         118         248         207         128         128         243         147         163         247         109         188         106         254         117         242         254         245         241         215         135         255         227          93         231         121         122
	   6         222         127         123         197         150         232          77         244         248         184         255         199         256         140         117         138         139         173         196         151         103         103         129         247         214         238          75         244         121         121         246         232
	   7         154         144         225         220         187         187         105         230         110         100         116         141         237         261         198          71         244         210         128         258         239         185         137         148         263         148          91         261         106         140          72         184
	   8         251         250         169         218         132         233         254         183          81         206         157         146         243          85         216          81         169         215          88         134          85         195         137         168         103         207         208          67          90         181         235         186	;
param c :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32	:=
	   1           7          10          10           7           4           3          10          10           3          10           2           7           1           3           4           5           2           7           9           6           6           6           3           7           8           3           3           2           8           4           8           3
	   2          10           6          10           4           8           6           4           2           5           7          10           5           9           5           2           8           9           6           2           6           9           2           8           3           5           3           8           4           7           3           7           9
	   3          10           7          10           7           4           5           1          10           9           1           8           7           5           8           2           2           2           5          10           5           5           6           6           8           3           3           4           5           6           2          10          10
	   4           4           8           5           7          10          10           4           4          10           5           6           5           8           3           9           8           1           5           5           2           9           6           6           8           3           6           5           8           3           5           8           7
	   5           2           7           2          10           1           4           1           4          10           4           3           8          10           7           3           8           5           5           8           5           9           9           6           8           8           8           8           3           4           7           8           9
	   6           4           4          10           1           7           7          10           8           4           1           8           1           8           5           5           6           7           2           2           6           2           2           5           5           3           3           8           7           3           3           7           8
	   7           4           1           2           7           4           4           1          10           7           9           4           5           1           3           1           6           8           2           4           5           2           1           6           9           2           9           3           3           4           4           7           1
	   8           1           2           9           6           1           7           9          10           4          10           1           9           7           6           9           4           9           9           8           9           8           9           7           8           3           9           3           3           2           8           3           2	;
param mm_ :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32	:=
	   1           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   2           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   3           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   4           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   5           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   6           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   7           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   8           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0	;
