param n :=           26;
param m :=           10;
param MM :=    1           58,   2           31,   3           29,   4           25,   5           21,   6           43,   7           11,   8           54,   9           18,  10           60;
param AA :=    1           21,   2            8,   3           14,   4           10,   5           11,   6           19,   7            3,   8            6,   9            2,  10            7,  11           29,  12           56,  13            4,  14            6,  15           27,  16            2,  17            8,  18            8,  19           30,  20           11,  21            6,  22           16,  23           33,  24            4,  25            6,  26            3;
param a :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26	:=
	   1         233         158         206         171         125         163         240         222         146         116         253         126         119          74         147         191          76         249         198         200         194         181          96         227         246         211
	   2          78         109         182         110         131         134         207         170         136         216         261          86         123         174         240         137         125         192          92         238         181          84         227         161         135         230
	   3          95         111          69         107         135          76         108         112         221          74         117         172          97         120          75         250         181         177         213         117         102         130         168         250          72         182
	   4         258         161         225          76         136         182         118         141          89         108         120          98          87         262         205         263         227         230         262         212         262         129         153         178          72          82
	   5         238         107         237         136         131         199         130         221         113         125         107         146          93         104         148         156         117         239         218         197          98         255         195         151         204         133
	   6         122         243         168         234         198         213         198         113         247         122         137         210         117         263         172         218         173         109         135         189         101         176         241         134         239          76
	   7         188         260         180         100         175         197         157         135         248         244          96         221          87         138         143         117         160         181         223         181          70         209         153         121         218          70
	   8         203         203         175         201         211         122         128         198         216         161         117         164         146         198         191         188          74          75         205          70         164         182         227          83         132          85
	   9         185          91         234         175         123         109         207         104         145         127         215         125         151         254         209         180         258         242         181         185         152         158         140          66          92         164
	  10          91          65         229         261          89         183         235         200          93         168         237          79          80         235         230         147         205         247         148          91         240         176         107         211         106         193	;
param c :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26	:=
	   1           7          10          10           1           6           7          10           4          10           4           9           8           2           7          10           8           9           2           2           5           8           8           7           3           6           5
	   2           1           7          10           7           1           9          10          10           9          10           3           7           9           3          10           6           7           6           1           3           8           6           3           8           8          10
	   3           4          10           4           4          10          10           3          10           8           8           5           2           6           2           9           2           8           6           4           5           9           5           8           3           7          10
	   4           6           8           1          10          10          10           1           3          10           3           3           6           9           2           6           2           9           6           2           5           3           4           4           7           7           3
	   5           1           4           1          10           1           1           1           3           9           6           5           9           4           2           9           2           5           2           6           3           6           8           9           7           7           2
	   6          10           7           8           3           1           4           1          10           3           9           6           2           5           2           2           6           2           7          10           5           9           5           8           9           2          10
	   7           3           4           7          10           4           1           1          10           4           7           4           4           9           8           2           5           9           8           5           8           5           2           4           9           6           5
	   8           7           7           4           4           1          10           3           1          10           9           5           6           9           2           6           5           7           9          10           5           6           8           3           5           3           6
	   9           1           1           4           4          10           7          10           1           2           8           9           6           6           9           2           9           6           9           8           3           6           1           4           2           1           6
	  10           1           1          10           4          10           9           5           5           2           8           2           3           2           5          10          10           6           5           9           3          10           5           4           5           5          10	;
param mm_ :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26	:=
	   1           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   2           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   3           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   4           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   5           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   6           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   7           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   8           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   9           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  10           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0	;
