param n :=           18;
param m :=           14;
param MM :=    1           21,   2           19,   3           24,   4           10,   5           27,   6           25,   7           10,   8           16,   9           17,  10           38,  11           22,  12           33,  13           22,  14           26;
param AA :=    1            6,   2           13,   3           21,   4           11,   5           20,   6            4,   7           35,   8           13,   9           20,  10            9,  11            7,  12           18,  13           14,  14           22,  15           33,  16           45,  17           11,  18            8;
param a :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18	:=
	   1         202         222         100         174         116         253         252         113         261         240         106         146          76         169         247         194         208         242
	   2         190         158         243         175         191         243         162         251         248         213         123          65          73         246         181         132          91         264
	   3         229         112         107         193         214         120         154         150          94          74         104         152          94         258         264          88         262         220
	   4         190         198         130         118         135          91         243         258          98          78         188         129         162         208         110         186         262         223
	   5         154         217         156          91         233         191         172         157         202         212         169         173         150          96         210         194         106         221
	   6         141         149         234         230         126         113         101         240         138          87         242         189          93         204         184         176         148         140
	   7         131         256         147         252         107         112         165         255          71         244         192         168         250         132         177         195          98         105
	   8         211          85         124         171         139         115          65         253         217         178         186          87         119         137          82         208         205         223
	   9         147         149         214         105         132         131         202         213          81         234         226         202         138         245         148         209         177         152
	  10         249         126         145         235         234          92         201         142         106         113         134          90         138         114         239         222         262         205
	  11          95         251         145         131         130         222         192         179         183         234         196         106         200         147          72         176         231         160
	  12         109         234          78         115         136         221         252         129          80          94          65         177         258         137         185         242         181         132
	  13         107         233          91         112         261         150         119         102         207         138          71         122         125         166         168         144         174         241
	  14         191         154         101          66         156         128         234          75          86         210         231          79         105         166         147         171         241          80	;
param c :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18	:=
	   1           4           4          10           3           4           9          10           9           3          10           5          10           9          10           5           8           9           8
	   2           7           1           7           4           6           7           7           1           4           4          10           1           7           5           8           3           3           1
	   3          10          10           4          10           3           2           3           8           3           7           1           5           5           6           1           8           3           8
	   4           7           1           1           1          10           1           7           6           6           2           5           5           7           9           6           3           3           5
	   5           4          10           2           1           7           8           1           2           4           5           9           2           8           7           2           8           5           3
	   6           3           7           4          10           8          10           9           9           6           8           9           5           5           6           1           4           9           5
	   7           2           7          10          10           4          10           6           8           6           6           6           8           2           3           6           9           7           5
	   8           1           7          10           1           7           3           1          10          10           6           2           9           1           6           5           8           6           5
	   9          10           7           4           1           1           1           8           4           4           3           2           4           6           6           8           3           6           6
	  10           4           7           1           3           3           1           3           3           5           9           9           2           6           8           2           4           3           6
	  11           4           1           1           2           1           4           6           8           2           4           2           5           5           8           7           4           6           9
	  12           7           4           1           3          10           3           1           5           2           5           1           5           6           6           3           9           9           3
	  13           4           7           1          10           3           8           2           9           9           6           6           9           7           7           9           1           3          10
	  14           6           4           8           1           2           3           4           9           9           2           6           2           5           7           8          10          10           2	;
param mm_ :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18	:=
	   1           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   2           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   3           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   4           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   5           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   6           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   7           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   8           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   9           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  10           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  11           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  12           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  13           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  14           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0	;
