param n :=           16;
param m :=           16;
param MM :=    1           22,   2           24,   3           10,   4            3,   5           18,   6           54,   7            9,   8           17,   9           15,  10           18,  11           19,  12           38,  13            6,  14           13,  15           38,  16            6;
param AA :=    1           11,   2           24,   3            2,   4           49,   5            2,   6           22,   7           41,   8            8,   9            9,  10           16,  11            1,  12           60,  13           17,  14            1,  15           30,  16           17;
param a :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16	:=
	   1         149         221          69         112         201         179         209         183         133         249          79         121         101         262         163          97
	   2         139          92         179         112         136         172         183         216         193         151         235         243         206         259         193          70
	   3         240         142          86         170         162          82         106         196         124         172         195         238         250          90         140         250
	   4          72         112          68         184          95         230         221         128         130         146         212         241          75         151         176         179
	   5         109         222          72          90         117         112          74         151         101         181         196          79         117         155         193         238
	   6         206         159         241         198         149         146         214         171         207         133          75         224         127         208         249         235
	   7         118         185         251         159         119          98         252         204         137         177         208         126         167         110         163         136
	   8         105         206         101         196         121         127         174          90         216         258         119         156         212          94          69         126
	   9         211         127         154         158          76         214         256         197         221         224         255         147         144         106         219         167
	  10         198         109          69         186          69         196         159         243         148         207         176          79         214         245         215         138
	  11         237         128         213         232         225         240         202         129         221         204         225         181         183         229         109         147
	  12         251         163         175         110          88         107         253         198         104         183         141         143         111         148         185         130
	  13         188         142          99         138         248         255          89         142         235         201         188         241         241          75         189         120
	  14         109         145         198         122         249         178         230         134          92         192         177         215         239          67         242         208
	  15         142         208         147         109         167          88         251         215         130         111         144         148         102         178         166         179
	  16         164          81         188         238         105         210         128         136         258         166         124         151         134         136         102         111	;
param c :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16	:=
	   1           7           3           4          10           3           8           2           9           2           2           3           3           8           3           7           8
	   2           8           1           7          10          10           2          10          10          10           6           5           8           9           5          10           5
	   3          10           4           8          10           7           3           5           2           6           2           8           3           2           3           5           3
	   4           7          10           3           1           3           9           8           3           1          10           5          10           9           6           5           7
	   5           7           4           7           2           5          10           8           6           9           9           2           3           5           3           9           3
	   6          10          10          10           1           7           2           4          10           9           2           9           5           8           3           2           5
	   7           1           1           1          10           2           6           1           6           6           5           3           7           7           6           7           9
	   8           1          10           8           9           8           8           3           2           9           5           2           2           5           5           4           7
	   9           1           4           4           1           9           3           8           2           4           1           8          10           3           4           7           8
	  10           1           7           4           2           4           9          10           9           8           9           5           3           3           7           9           6
	  11           1           4           4           8           1          10           8           5           4           6           2           8           9          10           8          10
	  12           1           7           4           6          10           4          10           1           2          10           5           2           6           8           2           4
	  13           3           4          10           8           4           9           9           4           5           3           5           8           8           9           5           2
	  14           7           1           1          10           4           6           9           9           1           6           6           9           2           2           9           3
	  15           4           9          10           8           7          10           2           8           5           6           2           8           3           7           6           8
	  16           6           4           5           1           1           1           3          10           5           7          10           6           8           7           3           6	;
param mm_ :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16	:=
	   1           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   2           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   3           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   4           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   5           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   6           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   7           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   8           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   9           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  10           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  11           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  12           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  13           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  14           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  15           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  16           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0	;
