param n :=           17;
param m :=           17;
param MM :=    1           12,   2            6,   3           23,   4           25,   5           15,   6           32,   7           27,   8           19,   9            5,  10            4,  11           14,  12           10,  13           28,  14            9,  15            8,  16           28,  17           35;
param AA :=    1           17,   2            6,   3            3,   4           20,   5           26,   6           23,   7           36,   8           30,   9            3,  10           29,  11            8,  12            4,  13           15,  14           16,  15           12,  16           33,  17           19;
param a :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17	:=
	   1          40          88          87          40          73          29          44          17          58          92          81          35          88          66          21          65          43
	   2          90          40          65          50          15          58          32          82          34          25          85          33          74          35          56          64          16
	   3          31          48          90          66          90          54          65          81          90          35          51          29          56          25          67          18          73
	   4          47          52          70          36          93          27          81          25          53          17          91          29          74          32          56          69          60
	   5          37          19          89          70          10          21          39          40          97          71          31          47          42          51          14          60          54
	   6          27          96          78          70          36          75          15          95          34          70          92          12          83          50          28          43          40
	   7          66          80          34          19          44          90          62          61          59          86          35          85          23          32          34          11          53
	   8          37          23          27          76          11          71          20          37          97          23          16          44          87          67          26          20          48
	   9          94          32          91          54          80          65          68          32          31          44          45          66          93          45          44          87          94
	  10          85          96          34          24          61          38          75          65          81          91          35          95          89          41          21          90          82
	  11          88          24          68          22          95          30          63          34          76          17          74          30          94          65          18          11          25
	  12          65          41          65          90          25          85          22          66          69          44          48          54          58          35          10          70          97
	  13          69          46          48          63          63          90          28          46          73          81          68          93          74          74          13          30          50
	  14          64          62          63          64          17          19          10          87          73          79          96          60          21          91          95          99          22
	  15          17          48          42          77          74          63          57          99          32          51          31          95          75          41          21          79          77
	  16          85          40          57          63          51          64          17          19          93          14          56          77          81          20          68          21          10
	  17          90          94          41          89          71          12          81          96          51          21          32          22          16          77          62          79          57	;
param c :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17	:=
	   1           1           2           1           1          10           3           3           3           2           3           5           8           3           4           2           4           8
	   2           7           1           3           3          10           1           4           2           2           6           6           5           3           8           8           3           2
	   3          10           7           8           8           8           7           5           5           6           9           2           3           8           6           7           4           6
	   4          10          10           1           9           1           2           5           6           9           5           6           3           8           8           9           2           4
	   5           7           7          10           1           1           2           1           1           5           5          10           9           6           2           8           4           7
	   6           3           7          10           5           9           1          10           9           2           5           5           5           9           5           5           4           1
	   7           4           3           1           7           3           8           8           8           3           5           9           6           5           8           2           3           9
	   8           7           4           1           4           4           8          10           6           5           5           2           5           5           6           2           9           6
	   9           1           8           5           7           3           3           9           4           6           5           3           8           3           3           5           4           1
	  10           7           7           1           7           8           4           2           5           5           6           9           8           8           8           2           7           1
	  11           1           7          10           1           8           7          10           1           4           4           9           6           2           5           5           2          10
	  12           4          10           4           8           7           8           2           7           1           5           6           6           2           3           2           1           5
	  13           2           1           7           1           1           8           1           1           9           5           9           2           8           8           7           7           4
	  14           1          10           1           4           4           7           1           1          10           7           6           5           3           5           8           1           2
	  15           4           8           6           3           9          10           9           2           9           2           6           9           2           9           3           6           8
	  16           7           1          10          10           1           2           4           6           1           9           9           9           5           8           9           2           2
	  17           8           1          10           9           3           5           5           6           2           3           8           5           1           3           8           7           9	;
param mm_ :            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17	:=
	   1           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   2           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   3           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   4           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   5           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   6           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   7           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   8           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	   9           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  10           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  11           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  12           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  13           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  14           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  15           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  16           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
	  17           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0	;
